Component Name,Module Code,Module Name,Tables Name,Dependency Tables Name,Dependency Tables Count,Cross Module Dependencies Names,Cross Module Dependencies Count,Tables Category,Tables Category Notes,Complexity
HR ,A,Module A - Core HR,Marital Status,[],0,No module ,0,Lookup Table,Static values,Not complex
HR,E,Module E - Performance,Feedback Forms,[],0,No module ,0,"Reference Table	",Appraisal templates,Not complex
HR,E,Module E - Performance,Review Cycles,[],0,No module ,0,"Reference Table	",Performance periods,Not complex
HR,E,Module E - Performance,Goals,[],0,No module ,0,Fact Table,Employee objectives,Not complex
HR,E,Module E - Performance,KPIs,[],0,No module ,0,Lookup Table,Performance metrics,Not complex
HR,F,Module F - Training,Courses,[],0,No module ,0,Master Data Table,Training programs,Not complex
CRM,C4,Module C4 - Marketing,Email Templates,[],0,No module,0,"Reference Table	",Message formats,Not complex
CRM,C4,Module C4 - Marketing,Campaigns,[],0,No module,0,Master Data Table,Marketing initiatives,Not complex
HR,F,Module F - Training,Performance Indicators,[],0,No module ,0,Lookup Table,Training KPIs,Not complex
Purchasing,P1,Module P1 - Vendor Management,Vendors,[],0,No module ,0,Master Data Table,Supplier records,Not complex
Finance,F1,Module F1 - General Ledger,Chart of Accounts,[],0,No module,0,Master Data Table,Account hierarchy structure,Not complex
CRM,C3,Module C3 - Customer Service,Knowledge Base,[],0,No module,0,"Reference Table	",Solution articles,Not complex
Purchasing,P3,Module P3 - Inventory,Inventory Items,[],0,No module ,0,Master Data Table,Product catalog,Not complex
CRM,C2,Module C2 - Sales Pipeline,Leads,[],0,No module,0,Master Data Table,Potential customers,Not complex
HR,E,Module E - Performance,Competencies,[],0,No module ,0,Lookup Table,Skills/behaviors,Not complex
Sales,S1,Module S1 - Customer Management,Customers,[],0,No module ,0,Master Data Table,Customer records,Not complex
CRM,C1,Module C1 - Customer Data,Customer Profiles,[],0,No module,0,Master Data Table,Core customer records,Not complex
Inventory,I1,Module I1 - Inventory Master,Item Categories,[],0,No module,0,Lookup Table,Product classification,Not complex
Inventory,I1,Module I1 - Inventory Master,Units of Measure,[],0,No module,0,Lookup Table,Measurement standards,Not complex
Inventory,I1,Module I1 - Inventory Master,Warehouses,[],0,No module,0,Dimension Table,Storage locations,Not complex
Project Management,J2,Module J2 - Planning,Phases,[],0,No module,0,Dimension Table,Project stages,Not complex
Inventory,I4,Module I4 - Inventory Valuation,Cost Methods,[],0,No module,0,"Reference Table	",FIFO/LIFO/Standard,Not complex
Project Management,J1,Module J1 - Project Setup,Work Breakdown,[],0,No module,0,Master Data Table,Task hierarchy,Not complex
Project Management,J1,Module J1 - Project Setup,Project Templates,[],0,No module,0,"Reference Table	",Predefined project structures,Not complex
Project Management,J1,Module J1 - Project Setup,Project Types,[],0,No module,0,Lookup Table,Project classifications,Not complex
Assets,M1,Module M1 - Asset Master,Asset Categories,[],0,No module,0,Lookup Table,Classification of assets (IT/Vehicles/etc.),Not complex
Assets,M1,Module M1 - Asset Master,Depreciation Methods,[],0,No module,0,Lookup Table,Detailed types,Not complex
Assets,M1,Module M1 - Asset Master,Locations,[],0,No module,0,Dimension Table,Physical asset locations,Not complex
Finance,F1,Module F1 - General Ledger,Accounting Periods,[],0,No module,0,"Reference Table	",Fiscal calendar,Not complex
CRM,C1,Module C1 - Customer Data,Customer Segments,[],0,No module,0,Lookup Table,Market classifications,Not complex
CRM,C4,Module C4 - Marketing,Lead Sources,[],0,No module,0,Lookup Table,Acquisition channels,Not complex
Assets,M3,Module M3 - Maintenance,Maintenance Types,[],0,No module,0,Lookup Table,Service categories,Not complex
HR,A,Module A - Core HR,Hierarchy,[],0,No module ,0,Table with Hierarchy,Org chart relationships,Not complex
HR,B,Module B - Payroll,Tax Rules,[],0,No module ,0,"Reference Table	",Tax regulations,Not complex
HR,A,Module A - Core HR,Approval Workflows,[],0,No module ,0,"Reference Table	",Workflow definitions,Not complex
HR,B,Module B - Payroll,Salary Grades,[],0,No module ,0,Lookup Table,Pay scales,Not complex
HR,A,Module A - Core HR,HR Rules,[],0,No module ,0,"Reference Table	",Business rules,Not complex
HR,B,Module B - Payroll,Payroll Status,[],0,No module ,0,Lookup Table,Payroll states (draft/approved),Not complex
HR,A,Module A - Core HR,Company Policies,[],0,No module ,0,"Reference Table	",Policy documents,Not complex
HR,A,Module A - Core HR,Departments Types,[],0,No module ,0,Dimension Table,Organizational structure,Not complex
HR,A,Module A - Core HR,Deduction Type,[],0,No module ,0,Lookup Table,Deduction categories,Not complex
HR,A,Module A - Core HR,Bonuses Type,[],0,No module ,0,Lookup Table,Bonus categories,Not complex
HR,B,Module B - Payroll,Earning Types,[],0,No module ,0,Lookup Table,Salary components,Not complex
HR,C,Module C - Time & Attendance,Leave Policies,[],0,No module ,0,Reference Table,Leave rules,Not complex
HR,D,Module D - Recruitment,Evaluation Forms,[],0,No module ,0,"Reference Table	",Interview scoring,Not complex
HR,C,Module C - Time & Attendance,Leave Balances,[],0,No module ,0,Fact Table,Accrued leave,Not complex
HR,C,Module C - Time & Attendance,Shift Patterns,[],0,No module ,0,"Reference Table	",Shift templates,Not complex
Manufacturing,M1,Module M1 - Product Definition,Product Catalog,[],0,No module,0,Master Data Table,Finished goods specs,Not complex
HR,D,Module D - Recruitment,Candidates,[],0,No module ,0,Master Data Table,Applicant records,Not complex
HR,A,Module A - Core HR,Forms,[],0,No module ,0,Lookup Table,Form templates,Not complex
HR,A,Module A - Core HR,Calendars,[],0,No module ,0,"Reference Table	",Company holidays/workdays,Not complex
